Year,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold
1928,-0.0115607,0.45493157903462444,0.6178029343835276,0.042856147059308514,0.02014833747484457,0.04426798358009876,0.02678084206012854,0.012676238437769438
1929,0.005848,-0.08831102325510076,-0.4692040944556235,0.025602277878963742,0.03597963267134219,0.024189104515831783,-0.026262487492244357,-0.007257638645753572
1930,-0.0639535,-0.20007858972429649,-0.4661589995796148,0.11693169089356137,0.11683480932728285,0.07408959860949627,0.022385105868138133,0.0693586931296879
1931,-0.0931677,-0.3806743417915991,-0.38974383687038927,0.1282130113803841,0.07452220259531717,-0.07017841206877595,0.012861250978425165,-0.08897144371084342
1932,-0.1027397,0.01818430468817467,0.3428656099016081,0.12642897495854877,0.21247208853971733,0.3774107878810664,-0.002145075797749252,0.3516461489200595
1933,0.007633600000000001,0.4884599464877515,1.4645863337625902,0.0019515030066485917,0.010836400147690162,0.12111082537887063,-0.04540642641816073,0.2629545667615565
1934,0.0151515,-0.02663361771214723,0.18218807734609066,-0.012183567346023327,0.0635204953936983,0.17043051474073234,0.01370296668651072,0.29784425810875703
1935,0.029850699999999997,0.42487081916467706,0.4874000668252205,-0.027359014272651194,0.014438769907682891,0.10023454725698766,0.0658422014591995,-0.02478678444965776
1936,0.014492799999999998,0.30058498468892636,0.9006541988272365,-0.012585402281810154,0.03517615309389144,0.09792613483232904,0.017440453541616163,-0.013436981298154071
1937,0.028571399999999997,-0.371329289871034,-0.5457777651604935,-0.025096037734149035,-0.014369385930368517,-0.07071294889200941,-0.002855890973372799,-0.03000825779593075
1938,-0.0277778,0.3297644718299584,0.04502859531493919,0.02924002352548616,0.07190772368913834,0.12356909473664968,0.019585014996905903,0.030345360880854155
1939,0,-0.010975646879756495,-0.05730000000000002,0.00045833333333322734,0.04412261394206074,0.07983137765346138,-0.013016072256937905,-0.012338593974175027
1940,0.0071429,-0.1130640269044394,-0.3229361990239916,-0.006736448885919621,0.04654941812412661,0.07877578422667675,0.025739323445834295,-0.023534931789526592
1941,0.09929080000000001,-0.2065016424822217,-0.14071872519991968,-0.08914759709926912,-0.10871807154993018,-0.04477347707016255,-0.1665956609156093,-0.09032259707804335
1942,0.0903226,0.09301378276406314,0.4838727547241526,-0.07969898083374582,-0.0617926452460178,-0.035332285667941665,-0.05227094056806081,-0.08284025296733277
1943,0.0295858,0.214675941850212,1.3113178134352665,-0.02504482870684499,-0.004551150569481521,0.04939938041206404,0.08243781105902959,-0.02873563330030382
1944,0.0229885,0.1635583093010624,0.6591584362874068,-0.01875729785818714,0.0027249686375458992,0.04171125665885933,0.13964357841187325,-0.022471904620628758
1945,0.0224719,0.3283600687446706,0.8689022162858462,-0.018261528752037015,0.015230025802408065,0.044526167201444755,0.09320731915817082,0.002869813674559518
1946,0.1813187,-0.22484209777969133,-0.28317396482422574,-0.15027164134454152,-0.12700633167349695,-0.13225759503070944,0.050535183076168444,-0.15348838547971855
1947,0.08837210000000001,-0.033418809614836564,-0.0900170998503177,-0.07567610991375706,-0.07274638144175838,-0.07878821749788578,0.11417667768670059,-0.08119658708634658
1948,0.0299145,0.026343207745872954,-0.03593939108537658,-0.01889914162777584,-0.010101936215894614,0.004325694613585007,-0.009058369549017509,-0.02904561495153246
1949,-0.0207469,0.20809649399333563,0.29915340579468164,0.0325726821799186,0.06880933216139229,0.07609872379230564,0.02209886817048945,-0.06766353492520882
1950,0.059322,0.23480432778056382,0.4422432461517838,-0.044640502761829515,-0.051944585860475456,-0.015985533145992714,-0.02163466321589258,0.034259420915802696
1951,0.06,0.16677795325039924,-0.019622641509434158,-0.04228773584905676,-0.05938975398191704,-0.058405480311449987,0.0004495107248647656,-0.05660377358490576
1952,0.0075472,0.172659589954141,0.0043201946271103076,0.009605306828305293,0.015019407446425825,0.0365890700181597,0.03624606398240959,-0.010920998240237956
1953,0.007490599999999999,-0.01942712658748813,-0.06500368340905605,0.011332843535545978,0.03369540379740377,0.00864576187454591,0.10687453108739486,-0.0005500635093058648
1954,-0.0074348999999999995,0.5370611080465644,0.6512770799618082,0.016936017597233732,0.04063505210700602,0.06953090715934707,0.016786929441589882,0.013274119882501934
1955,0.0037452999999999996,0.3210256810271326,0.26615785897079647,0.01344776039780271,-0.017045849468604102,0.016639280944527934,-0.0037313250682220467,-0.0040156483202002935
1956,0.029850699999999997,0.04325327810478674,-0.03859850753123717,-0.0035313964549530397,-0.05088935529504823,-0.0518300778740266,-0.02010761643133585,-0.030094244136505854
1957,0.0289855,-0.1297968745775132,-0.17637323363643131,0.003168333558965175,0.03788647018471081,-0.035155776638779224,-0.001754574821346111,-0.02927998865561332
1958,0.0176056,0.41233455268669106,0.6642007473229312,5.882617724339845e-05,-0.03792803592597627,0.045887452833750286,-0.010800240294975394,-0.013083413167574887
1959,0.017301,0.1015073922423877,0.10822657207650432,0.01627754161506756,-0.04302297215021422,-0.0015310798917697044,-0.015930103035466603,-0.017006765942430002
1960,0.0136054,-0.010102596979616685,-0.04785432279662294,0.014921308504771025,0.10140991445944691,0.05231470908998137,-0.005866934680853975,-0.008644483500872324
1961,0.006711399999999999,0.25793462712533866,0.2896446787033504,0.01670140975695089,0.013805156151329268,0.04399334307727121,0.003040183085921244,-0.0072299311934599375
1962,0.0133333,-0.10011306760688599,-0.10947365491689653,0.014201047946530876,0.04302842957996611,0.05094077134943231,-0.009974500540332887,-0.013717772707681597
