Year,Stocks minus T. Bills,Stocks minus T.Bonds
1928,0.41207543197531593,0.4347832415597799
1929,-0.1139133011340645,-0.12429065592644295
1930,-0.31701028061785785,-0.31691339905157934
1931,-0.5088873531719832,-0.45519654438691626
1932,-0.1082446702703741,-0.19428778385154266
1933,0.4865084434811029,0.4776235463400613
1934,-0.014450050366123901,-0.09015411310584553
1935,0.45222983343732825,0.41043204925699417
1936,0.3131703869707365,0.2654088315950349
1937,-0.34623325213688494,-0.35695990394066546
1938,0.3005244483044722,0.25785674814082005
1939,-0.011433980213089723,-0.055098260821817235
1940,-0.10632757801851977,-0.159613445028566
1941,-0.11735404538295258,-0.09778357093229151
1942,0.17271276359780896,0.15480642801008093
1943,0.23972077055705698,0.21922709241969351
1944,0.18231560715924955,0.1608333406635165
1945,0.3466215974967076,0.31313004294226254
1946,-0.07457045643514981,-0.09783576610619438
1947,0.0422573002989205,0.039327571826921814
1948,0.045242349373648794,0.03644514396176757
1949,0.17552381181341703,0.13928716183194334
1950,0.27944483054239333,0.28674891364103927
1951,0.209065689099456,0.22616770723231627
1952,0.1630542831258357,0.15764018250771517
1953,-0.03075997012303411,-0.0531225303848919
1954,0.5201250904493306,0.49642605593955835
1955,0.30757792062932987,0.3380715304957367
1956,0.04678467455973978,0.09414263339983497
1957,-0.13296520813647839,-0.16768334476222402
1958,0.41227572650944766,0.4502625886126673
1959,0.08522985062732014,0.14453036439260192
1960,-0.02502390548438771,-0.1115125114390636
1961,0.24123321736838776,0.2441294709740094
1962,-0.11431411555341686,-0.1431414971868521
1963,0.19141081971832463,0.20589127411695785
1964,0.12745972008203577,0.12565397314372295
1965,0.08290728824771798,0.11460002370693168
1966,-0.14330949495450762,-0.12448293749326067
1967,0.1893401152419325,0.2463480999319172
1968,0.05230400309933425,0.0720040129630235
1969,-0.14039769058259877,-0.03038990070599301
1970,-0.026805411773554555,-0.12497448172128656
1971,0.09574169306020686,0.0429399754858546
1972,0.14209500438778666,0.15411932581525656
1973,-0.19634164210724914,-0.1652781987500721
1974,-0.30041189110959843,-0.24827288056502883
1975,0.2918439907004151,0.3122405210832847
1976,0.17979711222717176,0.07482428583986511
1977,-0.1147193043155903,-0.07750313828312883
1978,-0.006136824374140426,0.06684110868245907
1979,0.0747190535872263,0.15754390618813363
1980,0.18080371916569427,0.30862185975509693
1981,-0.17203607217518435,-0.11844772352883237
1982,0.09453588825462211,-0.11938283229443347
1983,0.13218408631396095,0.18437966780723802
1984,-0.03265206880339844,-0.07299008582280209
1985,0.22894340027199678,0.053205510948864276
1986,0.12389276887102674,-0.05726762260859464
1987,0.0003386015068587156,0.10315788295166095
1988,0.09451071225210628,0.07961735244970747
1989,0.22326064445233396,0.13169509847602856
1990,-0.09953165452163903,-0.08764635513924002
1991,0.24120134672148064,0.1477750886666307
1992,0.039478985131232935,-0.018152551454513333
1993,0.06783493271764351,-0.04130386163706312
1994,-0.028500912282617752,0.09118661161058816
1995,0.3092070464385619,0.13374908768399463
1996,0.17107186348478054,0.20568958686883965
1997,0.2757218423916554,0.2277677107981284
1998,0.23188222322822005,0.13203691059646916
1999,0.15822188474666965,0.28377748113594736
2000,-0.14365101072430841,-0.2484561239547557
2001,-0.1501610605975937,-0.1715573141572534
2002,-0.23024105687417906,-0.36221495976018414
2003,0.268429298674446,0.2746429282462314
2004,0.09072766584284842,0.06054969090111606
2005,0.01629654080696119,0.019019794134571888
2006,0.10612920806836823,0.1331331207434211
2007,0.010787561058648976,-0.04539901063458407
2008,-0.378890244955427,-0.5660188425637647
2009,0.25101616069090993,0.3607033630787603
2010,0.14466271152694898,0.06264459622892127
2011,0.01986680901272564,-0.13535968041381785
2012,0.15532560261072936,0.1269793959576122
2013,0.3161325693345304,0.40639357170106394
2014,0.13390404577871085,0.027573818792789195
2015,0.013172501652521262,0.0009390690056738649
2016,0.11224103381230488,0.10857283039528731
2017,0.20244391032119058,0.18415370272379628
2018,-0.06047654630286192,-0.041312631668669164
2019,0.2849798401469379,0.21094023398377026
2020,0.17431048172353614,0.06601392554082475
2021,0.265552950506981,0.30723086913020836
2022,-0.18845895560582226,-0.0019664230781246683
2023,0.20309523925818818,0.21461277219106978
2024,0.1937577738445424,0.2580612302305568
