Year,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP
1988,0.09868752812044687,0.0831359696856052,0.008328071879553145,0.02154907632569031,0.051199933578993884
1989,0.23363623638196723,0.13781536478750506,-0.24525183638196724,0.15526208736839475,0.05240982169336883
1990,-0.10560931612903211,-0.09299826946456548,-0.24855548387096787,-0.0934516817485107,0.049979953137364364
1991,0.24859243134879758,0.15230333115362454,0.16035156865120248,0.11306800260929717,0.0513850639844049
1992,0.04062413231344207,-0.018679093438278782,0.18016272027619934,-0.03811516577065864,0.050319857010869606
1993,0.0696993147919488,-0.04243906110068227,0.15762948520805123,-0.05505399203810954,0.04897593793175847
1994,-0.02926328318526546,0.09362576228455982,-0.06335920677457389,0.022941902153428253,0.0497186361717199
1995,0.3170559890260631,0.137144187900674,-0.04925198902606304,0.15907942378763365,0.05079145111941363
1996,0.17675569193468962,0.21252358225463946,-0.08050966018865788,0.19265276662635886,0.05304503967737495
1997,0.28041573103653095,0.23164522830675566,-0.10933653103653096,0.20349490378651258,0.05531558490330357
1998,0.23561993278443583,0.13416521355837369,-0.41797953278443584,0.2071047764916186,0.056306048135548625
1999,0.16246944617582484,0.2913956578835305,0.17354649007915526,0.199784964883221,0.05963469481832018
2000,-0.14851619752062029,-0.25687086080646765,-0.0025818104475072157,-0.18419633607058736,0.055111895842923087
2001,-0.15249113980709864,-0.17421940331249441,0.43989759142000184,-0.20388508060302107,0.051665345512908356
2002,-0.23571367957912698,-0.37082448336021984,0.183860479579127,-0.3410970628557983,0.045325449773477855
2003,0.2734744005001023,0.27980481461832646,0.6355419994998976,0.1603942154317689,0.048237796117156506
2004,0.09368135944096193,0.06252092241821647,0.06747224055903804,0.003968514751614777,0.04842299846885445
2005,0.016853175232688533,0.01966944563490903,-0.009044775232688533,-0.004639073602496553,0.04804218940225513
2006,0.10882557979315702,0.13651556737558865,0.02857442020684295,0.10416096971653639,0.04914903600480591
2007,0.011227830551867102,-0.04725186683591037,-0.1463473524642177,0.00640159810669251,0.047948712238125024
2008,-0.37923658852834047,-0.5665362403877521,-0.08287655888201811,-0.3301203424465355,0.0387958688686898
2009,0.25784713877663984,0.37051929190923144,0.21544766122336012,0.05725584299780867,0.04286850613334847
2010,0.1468264606357997,0.06358158398363642,0.13418907721280585,0.05410595170206149,0.04310851643347546
2011,0.020455347336280502,-0.13936960265833304,-0.16248374733628052,-0.10164536585756272,0.04097042900424852
2012,0.15802985241730294,0.12919013263711346,0.028394147582697066,0.06563521896251176,0.041988275684727405
2013,0.32088005858125485,0.41249654652472745,0.1853491414187452,0.33127874956293496,0.04617680941872315
2014,0.13491701649462237,0.027782411974574817,-0.11934421649462237,0.027426464227373243,0.04597502937583342
2015,0.013268597686576535,0.0009459197018839138,-0.10588891641167615,0.028797448206105608,0.0454344573137655
2016,0.11456960874798171,0.11082530404923392,0.05726919125201828,0.002486069642919711,0.046176501247687796
2017,0.2067136143449928,0.18803765163720335,-0.06135481434499279,0.12371576377244525,0.047686840373502015
2018,-0.061631745099720775,-0.042101769033751416,-0.12033130710911458,-0.009574496052523092,0.04660866909463257
2019,0.29149199996808756,0.21576049255260363,-0.18941679996808758,0.1596391422153028,0.04825368440680444
2020,0.17668460791565904,0.06691304180808358,0.16706798172577517,0.07422014354542011,0.0484426634144246
2021,0.28423831831645435,0.3288488620056863,-0.06778851751964157,0.2753540717997663,0.051322006296357525
2022,-0.20062285043644448,-0.002093343889279148,-0.05342494072821413,-0.02893427373624327,0.05060942016976089
2023,0.20990323539240963,0.22180684985024096,-0.20890684985024097,0.17325012783658253,0.052277478113130105
2024,0.19908611262526726,0.26515791406189704,-0.16258611262526726,0.23142255658748215,0.05439470656534162
